RoughTEOS_02.dat
2025/06/06 14:53:31 - 15:31:03
É∆ : 34.5251 deg
2É∆ : 69.5884 deg
É‘ : 90.3040 deg
É” : 0.0000 deg
Sz : 13.300 mm
Rx : 0.0000 deg
Ry : -0.0233 deg
I0 slit H : 0.10 mm
I0 slit W : 5.00 mm
R1 slit H : 0.10 mm
R1 slit W : 5.00 mm
R2 slit H : 0.10 mm
R2 slit W : 5.00 mm
Scan axis : 2É∆/É∆
Start: 68.5884 deg, End: 70.5884 deg
Step: 0.0100 deg, Time:10.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   68.5884,             5,       3389.0840,     1.00000E+0
   68.5984,             3,       3385.8774,     1.00000E+0
   68.6084,             6,       3381.0929,     1.00000E+0
   68.6184,             1,       3376.6467,     1.00000E+0
   68.6284,             3,       3381.9034,     1.00000E+0
   68.6384,             4,       3379.3638,     1.00000E+0
   68.6484,             5,       3376.3232,     1.00000E+0
   68.6584,             9,       3373.8370,     1.00000E+0
   68.6684,             4,       3365.5712,     1.00000E+0
   68.6784,             4,       3364.7998,     1.00000E+0
   68.6884,             7,       3369.0717,     1.00000E+0
   68.6984,             7,       3367.4370,     1.00000E+0
   68.7084,             8,       3362.5000,     1.00000E+0
   68.7184,             6,       3366.8665,     1.00000E+0
   68.7284,            10,       3371.7247,     1.00000E+0
   68.7384,            13,       3378.1573,     1.00000E+0
   68.7484,             8,       3375.6638,     1.00000E+0
   68.7584,             8,       3367.8252,     1.00000E+0
   68.7684,             6,       3361.2066,     1.00000E+0
   68.7784,            11,       3352.6262,     1.00000E+0
   68.7884,             9,       3355.0337,     1.00000E+0
   68.7984,            12,       3355.7264,     1.00000E+0
   68.8084,             5,       3361.4123,     1.00000E+0
   68.8184,            14,       3368.1520,     1.00000E+0
   68.8284,            12,       3360.4626,     1.00000E+0
   68.8384,            23,       3355.9085,     1.00000E+0
   68.8484,            13,       3355.4949,     1.00000E+0
   68.8584,            16,       3352.9556,     1.00000E+0
   68.8684,            12,       3356.9282,     1.00000E+0
   68.8784,            15,       3359.1981,     1.00000E+0
   68.8884,            18,       3353.2578,     1.00000E+0
   68.8984,            15,       3352.3252,     1.00000E+0
   68.9084,            20,       3347.0045,     1.00000E+0
   68.9184,            21,       3348.0110,     1.00000E+0
   68.9284,            12,       3352.5042,     1.00000E+0
   68.9384,            31,       3358.0482,     1.00000E+0
   68.9484,            14,       3354.1433,     1.00000E+0
   68.9584,            28,       3343.4433,     1.00000E+0
   68.9684,            26,       3337.0545,     1.00000E+0
   68.9784,            27,       3338.9746,     1.00000E+0
   68.9884,            42,       3337.4587,     1.00000E+0
   68.9984,            31,       3336.3871,     1.00000E+0
   69.0084,            47,       3331.6042,     1.00000E+0
   69.0184,            46,       3321.9567,     1.00000E+0
   69.0284,            47,       3321.5187,     1.00000E+0
   69.0384,            36,       3335.1102,     1.00000E+0
   69.0484,            40,       3341.3425,     1.00000E+0
   69.0584,            52,       3336.0190,     1.00000E+0
   69.0684,            64,       3328.3077,     1.00000E+0
   69.0784,            48,       3326.2375,     1.00000E+0
   69.0884,            81,       3330.8904,     1.00000E+0
   69.0984,            82,       3330.2582,     1.00000E+0
   69.1084,            86,       3325.7884,     1.00000E+0
   69.1184,            94,       3317.4505,     1.00000E+0
   69.1284,            92,       3307.9997,     1.00000E+0
   69.1384,            82,       3307.7791,     1.00000E+0
   69.1484,           119,       3311.4752,     1.00000E+0
   69.1584,           121,       3310.0461,     1.00000E+0
   69.1684,           120,       3305.2813,     1.00000E+0
   69.1784,           143,       3307.2978,     1.00000E+0
   69.1884,           154,       3311.4269,     1.00000E+0
   69.1984,           176,       3315.0125,     1.00000E+0
   69.2084,           224,       3311.1958,     1.00000E+0
