Si_Thermo_01.dat
2025/06/06 10:35:40 - 11:13:11
ƒÆ : 35.1374 deg
2ƒÆ : 69.5929 deg
ƒÔ : 90.2177 deg
ƒÓ : 0.0000 deg
Sz : 13.266 mm
Rx : 0.0000 deg
Ry : 0.0087 deg
I0 slit H : 0.10 mm
I0 slit W : 5.00 mm
R1 slit H : 0.10 mm
R1 slit W : 5.00 mm
R2 slit H : 0.10 mm
R2 slit W : 5.00 mm
Scan axis : 2ƒÆ/ƒÆ
Start: 68.5929 deg, End: 70.5929 deg
Step: 0.0100 deg, Time:10.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   68.5929,            17,       4815.8486,     1.00000E+0
   68.6029,             9,       4820.0912,     1.00000E+0
   68.6129,             9,       4823.7959,     1.00000E+0
   68.6229,            27,       4814.1087,     1.00000E+0
   68.6329,            19,       4810.9444,     1.00000E+0
   68.6429,             7,       4797.8720,     1.00000E+0
   68.6529,            10,       4794.9987,     1.00000E+0
   68.6629,            14,       4789.5208,     1.00000E+0
   68.6729,            11,       4791.6451,     1.00000E+0
   68.6829,            15,       4792.0735,     1.00000E+0
   68.6929,            12,       4794.8016,     1.00000E+0
   68.7029,            17,       4794.6000,     1.00000E+0
   68.7129,            17,       4789.2301,     1.00000E+0
   68.7229,            14,       4781.2246,     1.00000E+0
   68.7329,            10,       4774.9130,     1.00000E+0
   68.7429,            19,       4772.7745,     1.00000E+0
   68.7529,            22,       4777.6394,     1.00000E+0
   68.7629,            16,       4782.9337,     1.00000E+0
   68.7729,            16,       4772.5833,     1.00000E+0
   68.7829,            13,       4763.9170,     1.00000E+0
   68.7929,            22,       4758.2208,     1.00000E+0
   68.8029,            11,       4754.9972,     1.00000E+0
   68.8129,            17,       4754.2121,     1.00000E+0
   68.8229,            21,       4753.6473,     1.00000E+0
   68.8329,            25,       4754.9427,     1.00000E+0
   68.8429,            12,       4752.6464,     1.00000E+0
   68.8529,            17,       4746.5307,     1.00000E+0
   68.8629,            15,       4743.8847,     1.00000E+0
   68.8729,            17,       4753.1374,     1.00000E+0
   68.8829,            16,       4753.7763,     1.00000E+0
   68.8929,             9,       4747.2317,     1.00000E+0
   68.9029,            17,       4735.3848,     1.00000E+0
   68.9129,            13,       4731.7168,     1.00000E+0
   68.9229,            18,       4729.2408,     1.00000E+0
   68.9329,            16,       4726.3643,     1.00000E+0
   68.9429,            15,       4727.8238,     1.00000E+0
   68.9529,            17,       4724.5254,     1.00000E+0
   68.9629,            23,       4721.1032,     1.00000E+0
   68.9729,            22,       4718.1806,     1.00000E+0
   68.9829,            24,       4715.4571,     1.00000E+0
   68.9929,            27,       4719.0615,     1.00000E+0
   69.0029,            19,       4718.0303,     1.00000E+0
   69.0129,            24,       4713.5310,     1.00000E+0
   69.0229,            35,       4711.8487,     1.00000E+0
   69.0329,            34,       4714.4433,     1.00000E+0
   69.0429,            37,       4716.1999,     1.00000E+0
   69.0529,            31,       4706.6216,     1.00000E+0
   69.0629,            36,       4693.9922,     1.00000E+0
   69.0729,            54,       4692.5535,     1.00000E+0
   69.0829,            39,       4692.3672,     1.00000E+0
   69.0929,            52,       4686.6972,     1.00000E+0
   69.1029,            47,       4688.6938,     1.00000E+0
   69.1129,            56,       4685.1772,     1.00000E+0
   69.1229,            65,       4684.9710,     1.00000E+0
   69.1329,            84,       4684.6152,     1.00000E+0
   69.1429,            79,       4684.8551,     1.00000E+0
   69.1529,            75,       4688.5886,     1.00000E+0
   69.1629,            84,       4685.3016,     1.00000E+0
   69.1729,            98,       4675.5956,     1.00000E+0
   69.1829,           108,       4666.8540,     1.00000E+0
   69.1929,           124,       4661.2643,     1.00000E+0
   69.2029,           144,       4665.7484,     1.00000E+0
   69.2129,           146,       4672.0611,     1.00000E+0
   69.2229,           171,       4666.4557,     1.00000E+0
   69.2329,           182,       4660.8605,     1.00000E+0
   69.2429,           198,       4661.7202,     1.00000E+0
   69.2529,           179,       4658.6796,     1.00000E+0
   69.2629,           212,       4652.3382,     1.00000E+0
